Start;Stop;;
4,8;4,825;7498,06;6562,98
4,8125;4,8375;5310,55;5974,45
4,825;4,85;4813,08;5115,45
4,8375;4,8625;4406,96;4100,11
4,85;4,875;3860,38;3027,32
4,8625;4,8875;3785,29;2528,94
4,875;4,9;2928,62;2342,28
4,8875;4,9125;2123,21;2094,08
4,9;4,925;1984,95;2060,37
4,9125;4,9375;1649,75;1654,86
4,925;4,95;1275,85;1207,11
4,9375;4,9625;1064,23;1003,9
4,95;4,975;953,752;756,907
4,9625;4,9875;787,478;669,122
4,975;5;599,023;549,412
4,9875;5,0125;551,466;512,999
5;5,025;502,803;444,223
5,0125;5,0375;402,844;391,562
5,025;5,05;374,938;348,625
5,0375;5,0625;392,518;275,419
5,05;5,075;322,422;224,165
5,0625;5,0875;219,072;200,589
5,075;5,1;185,309;185,769
5,0875;5,1125;162,19;171,648
5,1;5,125;137,258;152,907
5,1125;5,1375;133,763;138,687
5,125;5,15;125,099;108,875
5,1375;5,1625;110,455;105,601
5,15;5,175;103,352;102,716
5,1625;5,1875;103,474;95,1955
5,175;5,2;104,194;88,1568
5,1875;5,2125;85,8342;83,9434
5,2;5,225;67,2332;78,9379
5,2125;5,2375;71,6441;70,6589
5,225;5,25;69,7035;64,3308
5,2375;5,2625;65,9197;63,4979
5,25;5,275;67,3163;67,2402
5,2625;5,2875;73,1221;69,2299
5,275;5,3;81,5553;80,5855
5,2875;5,3125;89,6724;82,7332
5,3;5,325;89,4909;71,4935
5,3125;5,3375;80,3388;69,4382
5,325;5,35;73,8733;68,2325
5,3375;5,3625;71,9709;62,227
5,35;5,375;72,1782;61,1771
5,3625;5,3875;70,4331;69,6064
5,375;5,4;66,7786;71,0354
5,3875;5,4125;69887,3;55768,9
5,4;5,425;71844,4;57550,4
5,4125;5,4375;18577,3;16175,6
5,425;5,45;12191,5;12011,8
5,4375;5,4625;11267,2;11297
5,45;5,475;8411,58;7859,8
5,4625;5,4875;6907,88;5876,4
5,475;5,5;5607,37;5290,41
5,4875;5,5125;3999,58;4966,87
5,5;5,525;4034,4;4293,48
5,5125;5,5375;3984,96;2929,55
5,525;5,55;3433,27;2485,36
5,5375;5,5625;2732,47;2240,92
5,55;5,575;2146,06;1915,78
5,5625;5,5875;1724,08;1938,28
5,575;5,6;1367;1565,02
5,5875;5,6125;1201,87;1138,4
5,6;5,625;1076,95;953,106
5,6125;5,6375;851,167;793,74
5,625;5,65;755,765;657,12
5,6375;5,6625;591,226;601,521
5,65;5,675;512,01;464,408
5,6625;5,6875;492,415;426,356
5,675;5,7;421,489;378,61
5,6875;5,7125;360,843;313,262
5,7;5,725;352,567;271,845
5,7125;5,7375;311,278;237,003
5,725;5,75;240,805;212,226
5,7375;5,7625;189,263;184,104
5,75;5,775;155,578;165,12
5,7625;5,7875;137,505;148,692
5,775;5,8;131,057;126,674
5,7875;5,8125;115,152;110,969
5,8;5,825;105,636;99,8137
5,8125;5,8375;98,3038;88,555
5,825;5,85;83,9633;79,9767
5,8375;5,8625;75,8235;77,4723
5,85;5,875;71,6227;73,5804
5,8625;5,8875;79,6825;74,68
5,875;5,9;91,5319;72,6974
5,8875;5,9125;99,0615;80,9353
5,9;5,925;94,6475;87,9798
5,9125;5,9375;86,6653;79,3654
5,925;5,95;81,9469;70,8527
5,9375;5,9625;75,9291;73,6303
5,95;5,975;79,9427;71,4154
5,9625;5,9875;88,7994;66,4871
5,975;6;94,9877;74,3506
5,9875;6,0125;94,1652;73,7919
6;6,025;85,172;68,7778
6,0125;6,0375;75,9969;69,9682
6,025;6,05;67,9632;68,6403
6,0375;6,0625;55731,1;47119,3
6,05;6,075;57749,4;48773,2
6,0625;6,0875;16720,3;14705,3
6,075;6,1;10739,4;11424,8
6,0875;6,1125;9747,01;10378,1
6,1;6,125;7050,14;7188,77
6,1125;6,1375;6051,93;5707,38
6,125;6,15;4945,26;5228,98
6,1375;6,1625;3827,84;4748,19
6,15;6,175;3618,77;3955,7
6,1625;6,1875;3157,81;2698,18
6,175;6,2;2735,98;2369,36
6,1875;6,2125;2351,47;2096,94
6,2;6,225;1908,1;1775,53
6,2125;6,2375;1579,65;1783,78
6,225;6,25;1234,66;1497,59
6,2375;6,2625;983,24;1123,48
6,25;6,275;878,144;885,224
6,2625;6,2875;729,966;725,605
6,275;6,3;700,644;605,02
6,2875;6,3125;556,344;578,312
6,3;6,325;472,042;430,384
6,3125;6,3375;439,373;398,513
6,325;6,35;353,705;370,053
6,3375;6,3625;304,118;308,687
6,35;6,375;302,476;255,711
6,3625;6,3875;263,671;208,643
6,375;6,4;205,404;190,812
6,3875;6,4125;170,161;172,012
6,4;6,425;156,297;147,101
6,4125;6,4375;129,948;131,357
6,425;6,45;120,312;114,393
6,4375;6,4625;103,84;96,3007
6,45;6,475;92,7836;91,7128
6,4625;6,4875;88,5522;93,4454
6,475;6,5;81,6317;88,1774
6,4875;6,5125;86,324;81,5827
6,5;6,525;82,024;76,6243
6,5125;6,5375;71,81;73,035
6,525;6,55;69,8203;79,7344
6,5375;6,5625;72,6378;75,5278
6,55;6,575;72,9542;71,1313
6,5625;6,5875;68,1486;75,5623
6,575;6,6;79,4898;78,8421
6,5875;6,6125;79,3647;77,9342
6,6;6,625;72,3665;72,81
6,6125;6,6375;73,0084;72,143
6,625;6,65;68,498;71,861
6,6375;6,6625;70,5111;71,7042
6,65;6,675;68,6779;71,3354
6,6625;6,6875;64,3868;63,0677
6,675;6,7;70,168;62,1417
6,6875;6,7125;70,6985;62,0147
6,7;6,725;67,6858;60,846
6,7125;6,7375;73,5101;76,3911
6,725;6,75;75479,5;49213
6,7375;6,7625;79254,4;52459,9
6,75;6,775;26246,1;20349,9
6,7625;6,7875;14556,7;13544,5
6,775;6,8;12828,9;12611,5
6,7875;6,8125;9155,75;9246,18
6,8;6,825;7882,32;6753,71
6,8125;6,8375;6940,25;5904,49
6,825;6,85;4678,84;5259,8
6,8375;6,8625;4581,97;4665,54
6,85;6,875;4692,85;3566,65
6,8625;6,8875;3959,27;2789,35
6,875;6,9;3314,36;2528,18
6,8875;6,9125;2796,84;2042,86
6,9;6,925;1939,55;2027,62
6,9125;6,9375;1630,98;1747,25
6,925;6,95;1376,93;1273,32
6,9375;6,9625;1207,19;1065,54
6,95;6,975;1027,12;862,871
6,9625;6,9875;922,072;690,661
6,975;7;678,368;631,848
6,9875;7,0125;626,694;470,22
7;7,025;610,991;472,596
7,0125;7,0375;534,638;432,895
7,025;7,05;474,975;357,672
7,0375;7,0625;419,416;306,073
7,05;7,075;355,915;247,641
7,0625;7,0875;295,046;215,712
7,075;7,1;221,819;198,466
7,0875;7,1125;178,823;170,377
7,1;7,125;164,68;157,739
7,1125;7,1375;146,766;129,467
7,125;7,15;122,475;108,076
7,1375;7,1625;133,575;103,647
7,15;7,175;130,496;107,272
7,1625;7,1875;113,061;98,2791
7,175;7,2;102,794;81,4856
7,1875;7,2125;94,8627;93,7457
7,2;7,225;90,4172;98,976
7,2125;7,2375;82,3806;82,5266
7,225;7,25;74,5094;77,3826
7,2375;7,2625;72,1305;79,3469
7,25;7,275;80,5527;74,0965
7,2625;7,2875;79,1642;67,0052
7,275;7,3;66,408;59,9202
7,2875;7,3125;64,7934;61,6101
7,3;7,325;68,706;66,3976
7,3125;7,3375;70,467;71,8202
7,325;7,35;77,1842;74,1126
7,3375;7,3625;77,9291;64,1241
7,35;7,375;76,8546;71,2756
7,3625;7,3875;78,8109;76,598
7,375;7,4;79,6692;63,9597
7,3875;7,4125;71,7536;63,3233
7,4;7,425;230,644;148,965
7,4125;7,4375;34966,4;25722,6
7,425;7,45;35295,6;26203,9
7,4375;7,4625;6275,91;7116,17
7,45;7,475;5788,11;6589,08
7,4625;7,4875;5078,27;4980,46
7,475;7,5;4059,42;3711,61
7,4875;7,5125;3478,65;3621,42
7,5;7,525;2600,15;3231,84
7,5125;7,5375;2327,4;2588,55
7,525;7,55;2062,99;1960,59
7,5375;7,5625;1643,42;1385,26
7,55;7,575;1498,62;1208,72
7,5625;7,5875;1247,39;1133,91
7,575;7,6;1021,01;1007,5
7,5875;7,6125;874,796;1005,7
7,6;7,625;650,173;822,877
7,6125;7,6375;541,174;597,448
7,625;7,65;509,365;520,567
7,6375;7,6625;483,833;411,435
7,65;7,675;387,053;364,576
7,6625;7,6875;325,463;313,453
7,675;7,7;295,215;280,641
7,6875;7,7125;245,867;234,441
7,7;7,725;215,537;205,758
7,7125;7,7375;209,892;164,557
7,725;7,75;189,336;147,821
7,7375;7,7625;161,416;129,429
7,75;7,775;139,9;119,907
7,7625;7,7875;114,426;108,862
7,775;7,8;110,971;96,7704
7,7875;7,8125;104,388;91,8238
7,8;7,825;104,059;89,3727
7,8125;7,8375;95,9701;89,7658
7,825;7,85;87,5733;95,0527
7,8375;7,8625;90,2927;91,6458
7,85;7,875;96,6954;78,2549
7,8625;7,8875;95,8585;75,6823
7,875;7,9;83,1421;83,5704
7,8875;7,9125;79,2389;77,9645
7,9;7,925;88,7262;69,7137
7,9125;7,9375;86,255;74,453
7,925;7,95;75,5088;66,3857
7,9375;7,9625;75,4575;62,2284
7,95;7,975;75,3512;59,7359
7,9625;7,9875;75,4144;62,9213
7,975;8;85,1181;73,0036
7,9875;8,0125;77,9695;76,902
8;8,025;70,4967;85,8582
8,0125;8,0375;83,6018;87,6292
8,025;8,05;78,1541;78,4389
8,0375;8,0625;78,9471;72,6664
8,05;8,075;87,7863;80,2266
8,0625;8,0875;618,25;544,649
8,075;8,1;49234,1;44797,3
8,0875;8,1125;49701,2;45402,3
8,1;8,125;8990,31;9702,89
8,1125;8,1375;8031,91;9053,48
8,125;8,15;6826,85;7566,2
8,1375;8,1625;5592,84;5033,44
8,15;8,175;4830,73;4664,99
8,1625;8,1875;3695,12;4169,47
8,175;8,2;3132,17;3563,73
8,1875;8,2125;2616,45;3027,47
8,2;8,225;2137,3;2132,43
8,2125;8,2375;1957,32;1835,76
8,225;8,25;1556,23;1579,51
8,2375;8,2625;1360,14;1417,14
8,25;8,275;1154,19;1406,28
8,2625;8,2875;771,246;1036,08
8,275;8,3;690,284;815,748
8,2875;8,3125;601,302;720,317
8,3;8,325;556,106;573,089
8,3125;8,3375;502,083;514,967
8,325;8,35;402,385;375,059
8,3375;8,3625;384,451;343,294
8,35;8,375;372,275;350,391
8,3625;8,3875;320,109;312,401
8,375;8,4;266,508;256,525
8,3875;8,4125;253,783;212,327
8,4;8,425;211,53;202,17
8,4125;8,4375;181,269;196,823
8,425;8,45;169,438;167,666
8,4375;8,4625;153,882;150,614
8,45;8,475;149,626;144,528
8,4625;8,4875;165,262;146,339
8,475;8,5;163,142;136,213
8,4875;8,5125;157,383;133,953
8,5;8,525;161,094;144,744
8,5125;8,5375;163,109;141,713
8,525;8,55;168,888;147,483
8,5375;8,5625;166,617;148,736
8,55;8,575;153,018;133,605
8,5625;8,5875;155,062;140,438
8,575;8,6;165,483;141,865
8,5875;8,6125;175,831;134,686
8,6;8,625;195,907;138,617
8,6125;8,6375;205,644;136,802
8,625;8,65;190,54;127,832
8,6375;8,6625;173,978;142,854
8,65;8,675;178,888;152,908
8,6625;8,6875;174,177;139,826
8,675;8,7;161,401;116,689
8,6875;8,7125;158,893;112,703
8,7;8,725;155,181;119,902
8,7125;8,7375;143,905;111,693
8,725;8,75;141,051;107,675
8,7375;8,7625;88252,1;71543,3
8,75;8,775;90077,1;72859,6
8,7625;8,7875;20554,8;17177,8
8,775;8,8;15884,2;15916,6
8,7875;8,8125;14873,5;14401,6
8,8;8,825;10586,9;9861,45
8,8125;8,8375;8990,66;8518,76
8,825;8,85;7204,18;7660,36
8,8375;8,8625;5808,02;6665,4
8,85;8,875;5093,91;5435,01
8,8625;8,8875;4096,05;4021,71
8,875;8,9;3847,15;3458,49
8,8875;8,9125;3414,47;2839,06
8,9;8,925;2809,89;2489,74
8,9125;8,9375;2260,71;2460
8,925;8,95;1530,43;1962,77
8,9375;8,9625;1400,39;1509,83
8,95;8,975;1274,84;1294,3
8,9625;8,9875;1093;972,667
8,975;9;989,577;880,71
8,9875;9,0125;782,406;753,43
9;9,025;693,303;613,614
9,0125;9,0375;656,874;550,87
9,025;9,05;553,427;497,601
9,0375;9,0625;482,839;442,692
9,05;9,075;457,232;359,784
9,0625;9,0875;344,358;278,627
9,075;9,1;273,983;250,892
9,0875;9,1125;236,965;230,168
9,1;9,125;196,067;213,672
9,1125;9,1375;159,217;179,579
9,125;9,15;153,255;150,173
9,1375;9,1625;133,735;131,233
9,15;9,175;117,121;124,337
9,1625;9,1875;108,859;113,821
9,175;9,2;94,4037;101,642
9,1875;9,2125;84,5201;92,4212
9,2;9,225;83,9218;87,7328
9,2125;9,2375;82,7107;84,7437
9,225;9,25;70,126;74,0558
9,2375;9,2625;67,5911;72,9042
9,25;9,275;72,7301;71,9072
9,2625;9,2875;73,785;69,0746
9,275;9,3;71,2444;72,7244
9,2875;9,3125;61,663;64,5808
9,3;9,325;57,2542;60,5388
9,3125;9,3375;56,5876;62,8454
9,325;9,35;59,7913;65,2321
9,3375;9,3625;59,2075;66,1307
9,35;9,375;55,1232;57,8272
9,3625;9,3875;56,7374;59,5405
9,375;9,4;56,0211;66,9862
9,3875;9,4125;56,062;68,5294
9,4;9,425;55,127;62,7976
9,4125;9,4375;57,5874;56,0028
9,425;9,45;65,3064;64,5577
9,4375;9,4625;63,2952;70,45
9,45;9,475;53,3294;61,3555
9,4625;9,4875;52,8859;63,2531
9,475;9,5;51,2397;65,3564
9,4875;9,5125;54,7487;65,0968
9,5;9,525;53,5305;60,6102
9,5125;9,5375;58,4083;62,2248
9,525;9,55;68,5494;62,7236
9,5375;9,5625;63,6833;52,6682
9,55;9,575;54,9043;54,9866
9,5625;9,5875;51,4331;53,3102
