Start;Stop;;;;
5,2625;5,2875;60;158;75;199
5,275;5,3;53;162;62;175
5,2875;5,3125;47;160;61;174
5,3;5,325;51;163;57;171
5,3125;5,3375;60;164;68;162
5,325;5,35;65;161;80;157
5,3375;5,3625;57;176;81;166
5,35;5,375;54;170;72;181
5,3625;5,3875;67;165;62;188
5,375;5,4;70;171;71;184
5,3875;5,4125;76;157;74;163
5,4;5,425;76;123;63;126
5,4125;5,4375;75;98;64;110
5,425;5,45;76;98;66;108
5,4375;5,4625;70;104;74;100
5,45;5,475;67;117;77;102
5,4625;5,4875;74;116;70;107
5,475;5,5;72;119;63;118
5,4875;5,5125;65;115;55;111
5,5;5,525;68;109;68;107
5,5125;5,5375;76;102;80;118
5,525;5,55;76;91;70;113
5,5375;5,5625;68;102;72;105
5,55;5,575;71;114;74;100
5,5625;5,5875;78;103;61;103
5,575;5,6;76;103;69;109
5,5875;5,6125;74;105;80;108
5,6;5,625;74;104;77;110
5,6125;5,6375;71;110;78;118
5,625;5,65;67;98;71;116
5,6375;5,6625;71;107;65;107
5,65;5,675;71;119;73;109
5,6625;5,6875;73;100;63;113
5,675;5,7;76;99;60;110
5,6875;5,7125;75;102;64;108
5,7;5,725;74;102;60;112
5,7125;5,7375;75;113;59;123
5,725;5,75;75;118;64;129
5,7375;5,7625;74;127;70;120
5,75;5,775;72;132;67;119
5,7625;5,7875;77;122;65;132
5,775;5,8;72;122;65;146
5,7875;5,8125;72;134;60;150
5,8;5,825;73;133;57;138
5,8125;5,8375;77;143;62;142
5,825;5,85;81;162;70;159
5,8375;5,8625;74;161;72;157
5,85;5,875;92;157;75;149
5,8625;5,8875;93;145;76;146
5,875;5,9;78;136;83;152
5,8875;5,9125;81;144;77;156
5,9;5,925;79;146;73;152
5,9125;5,9375;83;150;89;150
5,925;5,95;97;150;95;154
5,9375;5,9625;100;151;86;146
5,95;5,975;93;141;86;144
5,9625;5,9875;94;137;84;165
5,975;6;84;138;79;167
5,9875;6,0125;77;127;80;166
6;6,025;83;131;78;161
6,0125;6,0375;83;147;77;146
6,025;6,05;87;146;78;148
6,0375;6,0625;84;128;66;139
6,05;6,075;71;104;57;111
6,0625;6,0875;65;109;54;101
6,075;6,1;66;101;53;91
6,0875;6,1125;64;89;58;97
6,1;6,125;63;105;56;105
6,1125;6,1375;65;107;61;108
6,125;6,15;70;108;58;113
6,1375;6,1625;64;106;48;106
6,15;6,175;62;94;53;93
6,1625;6,1875;66;97;64;95
6,175;6,2;69;96;60;96
6,1875;6,2125;66;92;66;109
6,2;6,225;58;106;70;103
6,2125;6,2375;64;111;59;83
6,225;6,25;64;106;63;87
6,2375;6,2625;64;101;63;89
6,25;6,275;74;108;56;96
6,2625;6,2875;70;115;56;104
6,275;6,3;56;114;53;103
6,2875;6,3125;60;108;51;104
6,3;6,325;69;94;60;107
6,3125;6,3375;62;97;64;108
6,325;6,35;61;120;60;118
6,3375;6,3625;70;124;57;114
6,35;6,375;61;108;60;109
6,3625;6,3875;56;100;62;121
6,375;6,4;62;112;61;122
6,3875;6,4125;69;128;67;123
6,4;6,425;77;133;61;135
6,4125;6,4375;64;135;61;132
6,425;6,45;62;134;71;128
6,4375;6,4625;77;141;67;145
6,45;6,475;78;133;66;151
6,4625;6,4875;75;141;67;148
6,475;6,5;77;163;71;156
6,4875;6,5125;69;159;77;168
6,5;6,525;68;158;75;167
6,5125;6,5375;78;164;72;177
6,525;6,55;70;157;75;180
6,5375;6,5625;61;150;81;164
6,55;6,575;66;160;79;164
6,5625;6,5875;78;167;68;154
6,575;6,6;71;161;65;154
6,5875;6,6125;65;155;73;153
6,6;6,625;61;160;74;146
6,6125;6,6375;72;161;79;159
6,625;6,65;87;151;87;165
6,6375;6,6625;80;148;75;154
6,65;6,675;73;145;82;154
6,6625;6,6875;75;149;100;171
6,675;6,7;73;163;87;172
6,6875;6,7125;66;173;82;160
6,7;6,725;76;173;90;161
6,7125;6,7375;82;158;74;160
6,725;6,75;67;152;64;145
6,7375;6,7625;62;120;64;111
6,75;6,775;69;85;64;84
6,7625;6,7875;67;80;64;80
6,775;6,8;71;79;63;81
6,7875;6,8125;72;88;60;82
6,8;6,825;68;87;59;92
6,8125;6,8375;72;83;62;91
6,825;6,85;73;88;64;86
6,8375;6,8625;70;84;67;85
6,85;6,875;73;80;67;91
6,8625;6,8875;74;83;66;90
6,875;6,9;69;81;63;94
6,8875;6,9125;64;80;64;94
6,9;6,925;66;85;66;75
6,9125;6,9375;72;86;64;76
6,925;6,95;77;89;69;86
6,9375;6,9625;74;90;66;95
6,95;6,975;66;87;64;94
6,9625;6,9875;64;85;59;90
6,975;7;67;90;57;87
6,9875;7,0125;69;90;71;92
7;7,025;73;84;66;93
7,0125;7,0375;70;89;61;90
7,025;7,05;70;89;61;97
7,0375;7,0625;76;88;54;109
7,05;7,075;72;92;55;112
7,0625;7,0875;66;95;55;101
7,075;7,1;70;101;58;97
7,0875;7,1125;71;112;63;110
7,1;7,125;67;113;64;124
7,1125;7,1375;72;120;62;134
7,125;7,15;78;125;64;143
7,1375;7,1625;72;117;73;136
7,15;7,175;73;128;67;142
7,1625;7,1875;71;144;63;156
7,175;7,2;68;152;68;143
7,1875;7,2125;63;163;60;134
7,2;7,225;59;160;55;151
7,2125;7,2375;59;168;69;154
7,225;7,25;64;175;77;161
7,2375;7,2625;72;160;73;163
7,25;7,275;64;163;72;160
7,2625;7,2875;68;186;79;167
7,275;7,3;75;186;81;168
7,2875;7,3125;80;179;82;167
7,3;7,325;89;178;78;165
7,3125;7,3375;83;184;72;174
7,325;7,35;66;192;78;190
7,3375;7,3625;75;192;82;181
7,35;7,375;91;186;73;171
7,3625;7,3875;77;176;65;170
7,375;7,4;64;180;72;163
7,3875;7,4125;68;186;77;170
7,4;7,425;69;192;69;182
7,4125;7,4375;66;146;62;144
7,425;7,45;68;97;62;102
7,4375;7,4625;69;100;61;91
7,45;7,475;62;101;53;79
7,4625;7,4875;63;103;58;88
7,475;7,5;66;98;65;93
7,4875;7,5125;65;87;60;85
7,5;7,525;64;91;60;84
7,5125;7,5375;63;88;56;92
7,525;7,55;59;92;56;92
7,5375;7,5625;62;95;66;88
7,55;7,575;70;92;60;91
7,5625;7,5875;61;98;51;87
7,575;7,6;51;101;53;86
7,5875;7,6125;48;98;52;85
7,6;7,625;54;100;46;88
7,6125;7,6375;61;97;46;89
