Start;Stop;;
5,75;5,775;187,096;166,584
5,7625;5,7875;184,507;166,514
5,775;5,8;165,249;144,708
5,7875;5,8125;159,757;147,456
5,8;5,825;160,063;153,77
5,8125;5,8375;168,746;159,493
5,825;5,85;179,255;162,934
5,8375;5,8625;176,54;157,183
5,85;5,875;179,55;154,211
5,8625;5,8875;166,902;145,082
5,875;5,9;149,236;130,508
5,8875;5,9125;152,72;134,038
5,9;5,925;154,967;134,808
5,9125;5,9375;152,413;124,886
5,925;5,95;145,13;122,84
5,9375;5,9625;159,244;129,197
5,95;5,975;162,08;136,561
5,9625;5,9875;160,901;139,589
5,975;6;182,472;149,732
5,9875;6,0125;188,078;152,592
6;6,025;205,69;169,669
6,0125;6,0375;229,517;191,848
6,025;6,05;217,777;184,476
6,0375;6,0625;209,257;171,106
6,05;6,075;226,81;184,179
6,0625;6,0875;240,308;218,052
6,075;6,1;246,368;214,063
6,0875;6,1125;273,355;208,524
6,1;6,125;263,125;195,368
6,1125;6,1375;230,314;165,265
6,125;6,15;235,366;193,722
6,1375;6,1625;252,915;218,411
6,15;6,175;268,278;215,846
6,1625;6,1875;254,686;206,603
6,175;6,2;277,822;236,859
6,1875;6,2125;302,829;243,626
6,2;6,225;332,266;250,105
6,2125;6,2375;551,042;355,679
6,225;6,25;733,688;448,252
6,2375;6,2625;760,188;468,215
6,25;6,275;736,51;472,815
6,2625;6,2875;717,478;456,724
6,275;6,3;665,82;417,095
6,2875;6,3125;610,309;398,819
6,3;6,325;558,757;378,194
6,3125;6,3375;529,642;362,242
6,325;6,35;510,831;333,228
6,3375;6,3625;486,353;316,683
6,35;6,375;494,322;347,493
6,3625;6,3875;485,041;357,304
6,375;6,4;465,578;335,962
6,3875;6,4125;429,741;305,812
6,4;6,425;389,198;278,429
6,4125;6,4375;379,217;275,685
6,425;6,45;383,324;277,527
6,4375;6,4625;364,946;274,058
6,45;6,475;349,557;251,01
6,4625;6,4875;311,792;212,114
6,475;6,5;294,208;209,426
6,4875;6,5125;304,644;214,207
6,5;6,525;303,309;218,512
6,5125;6,5375;310,386;225,806
6,525;6,55;279,005;209,003
6,5375;6,5625;264,872;201,302
6,55;6,575;265,655;207,692
6,5625;6,5875;281,792;219,701
6,575;6,6;289,559;219,841
6,5875;6,6125;290,266;210,546
6,6;6,625;288,336;231,262
6,6125;6,6375;294,639;240,319
6,625;6,65;293,512;229,08
6,6375;6,6625;264,151;228,389
6,65;6,675;270,191;235,71
6,6625;6,6875;294,679;236,705
6,675;6,7;298,96;228,175
6,6875;6,7125;295,181;228,093
6,7;6,725;276,477;210,886
6,7125;6,7375;289,167;199,937
6,725;6,75;308,306;221,217
6,7375;6,7625;314,55;246,249
6,75;6,775;304,712;254,775
6,7625;6,7875;278,682;232,947
6,775;6,8;294,489;219,135
6,7875;6,8125;291,946;226,981
6,8;6,825;289,871;235,892
6,8125;6,8375;284,683;228,736
6,825;6,85;275,624;223,714
6,8375;6,8625;273,968;234,608
6,85;6,875;272,021;234,009
6,8625;6,8875;283,283;225,647
6,875;6,9;271,159;221,718
6,8875;6,9125;273,448;232,357
6,9;6,925;276,216;222,982
6,9125;6,9375;253,196;195,045
6,925;6,95;277,768;209,198
6,9375;6,9625;294,675;222,189
6,95;6,975;259,253;209,57
6,9625;6,9875;251,434;199,238
6,975;7;273,982;212,873
6,9875;7,0125;387,372;305,779
7;7,025;836,428;705,052
7,0125;7,0375;1130,77;1009,67
7,025;7,05;1196,19;1111
7,0375;7,0625;1229,78;1161,86
7,05;7,075;1346,68;1258,4
7,0625;7,0875;1374,43;1288,46
7,075;7,1;1304,97;1242,58
7,0875;7,1125;1266,36;1200,66
7,1;7,125;1225,84;1171,09
7,1125;7,1375;1150,52;1117,35
7,125;7,15;1068,63;1049,62
7,1375;7,1625;1057,51;1038,32
7,15;7,175;1029,04;1020,79
7,1625;7,1875;946,649;942,765
7,175;7,2;888,267;882,58
7,1875;7,2125;882,322;876,433
7,2;7,225;848,508;841,592
7,2125;7,2375;786,65;773,797
7,225;7,25;791,793;760,964
7,2375;7,2625;803,337;758,861
7,25;7,275;745,928;709,17
7,2625;7,2875;724,949;675,075
7,275;7,3;732,24;657,193
7,2875;7,3125;753,966;674,458
7,3;7,325;681,387;625,237
7,3125;7,3375;625,102;587,19
7,325;7,35;647,824;592,235
7,3375;7,3625;612,151;556,469
7,35;7,375;545,818;519,578
7,3625;7,3875;511,23;501,545
7,375;7,4;519,516;506,597
7,3875;7,4125;491,756;469,964
7,4;7,425;466,54;441,314
7,4125;7,4375;499,529;452,947
7,425;7,45;516,101;439,215
7,4375;7,4625;500,102;433,596
7,45;7,475;487,128;422,571
7,4625;7,4875;512,179;425,967
7,475;7,5;490,489;408,63
7,4875;7,5125;461,981;389,9
7,5;7,525;489,396;405,587
7,5125;7,5375;502,085;406,568
7,525;7,55;469,208;388,537
7,5375;7,5625;451,395;383,699
7,55;7,575;476,65;403,5
7,5625;7,5875;435,704;370,361
7,575;7,6;402,892;344,252
7,5875;7,6125;408,329;350,322
7,6;7,625;414,879;356,276
7,6125;7,6375;391,864;341,075
7,625;7,65;373,989;311,791
7,6375;7,6625;390,894;320,462
7,65;7,675;409,648;342,698
7,6625;7,6875;389,721;322,582
7,675;7,7;371,475;291,085
7,6875;7,7125;424,502;324,197
7,7;7,725;440,943;349,902
7,7125;7,7375;387,293;318,858
7,725;7,75;391,66;330,511
7,7375;7,7625;841,416;701,445
7,75;7,775;1250,77;1079,38
7,7625;7,7875;1605,11;1430,64
7,775;7,8;1895,32;1745,16
7,7875;7,8125;1953,89;1819,72
7,8;7,825;1956,02;1776,86
7,8125;7,8375;1834,94;1659,25
7,825;7,85;1646,77;1459,51
7,8375;7,8625;1432,49;1271,05
7,85;7,875;1276,88;1113,05
7,8625;7,8875;1170,17;955,052
7,875;7,9;1061,02;902,823
7,8875;7,9125;1017,08;857,012
7,9;7,925;946,698;795,992
7,9125;7,9375;1021,01;863,098
7,925;7,95;967,292;839,766
7,9375;7,9625;898,558;793,992
7,95;7,975;973,552;828,693
7,9625;7,9875;994,88;847,009
7,975;8;917,164;767,11
7,9875;8,0125;859,527;730,113
8;8,025;861,627;737,675
8,0125;8,0375;817,069;679,478
8,025;8,05;947,565;814,081
8,0375;8,0625;1045;925,038
8,05;8,075;952,187;833,698
8,0625;8,0875;839,159;709,699
8,075;8,1;807,1;706,542
8,0875;8,1125;843,528;752,575
8,1;8,125;750,383;644,586
8,1125;8,1375;731,137;605,211
8,125;8,15;748,788;642,143
8,1375;8,1625;732,969;658,424
8,15;8,175;719,344;647,665
8,1625;8,1875;715,82;663,44
8,175;8,2;731,081;683,577
8,1875;8,2125;660,373;600,052
8,2;8,225;636,076;594,912
8,2125;8,2375;638,622;598,321
8,225;8,25;610,31;574,265
8,2375;8,2625;604,561;579,086
8,25;8,275;608,003;561,54
8,2625;8,2875;626,37;578,81
8,275;8,3;624,576;571,217
8,2875;8,3125;615,589;571,095
8,3;8,325;612,196;589,113
8,3125;8,3375;604,019;561,898
8,325;8,35;584,346;503,385
8,3375;8,3625;614,406;483,758
8,35;8,375;611,031;487,357
8,3625;8,3875;692,761;570,065
8,375;8,4;653,416;549,91
8,3875;8,4125;500,879;475,03
8,4;8,425;491,309;480,117
8,4125;8,4375;494,263;461,644
8,425;8,45;533,063;457,352
8,4375;8,4625;539,865;443,435
8,45;8,475;493,709;441,886
8,4625;8,4875;405,552;417,876
8,475;8,5;391,949;384,052
8,4875;8,5125;425,569;393,717
8,5;8,525;405,214;391,606
8,5125;8,5375;425,301;398,206
8,525;8,55;433,59;396,86
8,5375;8,5625;415,163;396,198
8,55;8,575;400,34;406,086
8,5625;8,5875;371,322;400,1
8,575;8,6;391,448;387,122
8,5875;8,6125;390,995;395,406
8,6;8,625;450,187;396,69
8,6125;8,6375;491,582;388,404
8,625;8,65;434,615;355,788
8,6375;8,6625;417,933;332,324
8,65;8,675;433,356;340,378
8,6625;8,6875;453,008;351,843
8,675;8,7;437,861;372,472
8,6875;8,7125;407,344;380,348
8,7;8,725;417,511;362,758
8,7125;8,7375;486,296;368,918
8,725;8,75;451,593;366,68
8,7375;8,7625;350,623;323,293
8,75;8,775;316,62;315,464
8,7625;8,7875;293,416;285,275
8,775;8,8;314,869;265,654
8,7875;8,8125;324,691;283,842
8,8;8,825;322,291;287,036
8,8125;8,8375;310,316;281,935
8,825;8,85;323,737;321,213
8,8375;8,8625;327,63;346,585
8,85;8,875;314,224;294,503
8,8625;8,8875;315,221;268,38
8,875;8,9;281,88;289,135
8,8875;8,9125;267,379;290,879
8,9;8,925;296,414;323,878
8,9125;8,9375;287,167;350,815
8,925;8,95;287,012;387,023
8,9375;8,9625;300,147;372,98
8,95;8,975;314,126;348,135
8,9625;8,9875;339,23;373,27
8,975;9;369,163;354,018
8,9875;9,0125;401,332;367,647
9;9,025;412,616;395,377
9,0125;9,0375;370,844;412,458
9,025;9,05;352,857;424,538
9,0375;9,0625;349,583;426,775
9,05;9,075;319,9;407,969
9,0625;9,0875;281,13;349,466
9,075;9,1;270,84;336,47
9,0875;9,1125;286,977;332,016
9,1;9,125;268,86;317,043
9,1125;9,1375;285,205;313,709
9,125;9,15;289,919;297,02
9,1375;9,1625;293,119;304,514
9,15;9,175;317,199;308,521
9,1625;9,1875;327,515;309,017
9,175;9,2;325,993;297,951
9,1875;9,2125;322,267;289,107
9,2;9,225;312,304;303,515
9,2125;9,2375;319,211;321,686
9,225;9,25;312,159;297,461
9,2375;9,2625;283,973;269,248
9,25;9,275;282,304;280,426
9,2625;9,2875;303,805;292,892
9,275;9,3;279,36;271,915
9,2875;9,3125;260,078;267,188
9,3;9,325;319,519;292,592
9,3125;9,3375;338,63;315,893
9,325;9,35;362,298;370,91
9,3375;9,3625;416,813;398,731
9,35;9,375;429,5;384,3
9,3625;9,3875;422,868;374,799
9,375;9,4;402,822;354,114
9,3875;9,4125;407,34;337,861
9,4;9,425;430,705;354,023
9,4125;9,4375;397,89;331,581
9,425;9,45;435,297;314,576
9,4375;9,4625;469,87;326,098
9,45;9,475;380,293;282,93
9,4625;9,4875;342,801;252,018
9,475;9,5;365,417;268,86
9,4875;9,5125;348,249;258,713
9,5;9,525;332,271;231,414
9,5125;9,5375;341,091;236,748
9,525;9,55;364,663;265,999
9,5375;9,5625;378,694;277,736
9,55;9,575;340,211;247,937
9,5625;9,5875;318,54;219,399
9,575;9,6;366,706;241,629
9,5875;9,6125;370,039;237,817
9,6;9,625;345,623;218,295
9,6125;9,6375;329,204;200,855
9,625;9,65;338,57;217,637
9,6375;9,6625;355,667;233,66
9,65;9,675;329,962;211,695
9,6625;9,6875;330,704;228,017
9,675;9,7;350,195;244,419
9,6875;9,7125;370,037;246,124
9,7;9,725;460,886;302,256
9,7125;9,7375;500,102;328,098
9,725;9,75;469,734;284,069
9,7375;9,7625;451,598;288,853
9,75;9,775;475,34;339,685
9,7625;9,7875;526,098;377,823
9,775;9,8;547,364;379,317
9,7875;9,8125;479,995;324,173
9,8;9,825;415,509;294,309
9,8125;9,8375;428,295;304,524
9,825;9,85;369,584;273,728
9,8375;9,8625;316,42;244,383
9,85;9,875;349,929;251,326
9,8625;9,8875;365,846;279,768
9,875;9,9;310,237;247,758
9,8875;9,9125;298,557;234,526
9,9;9,925;495,472;343,229
9,9125;9,9375;506,248;346,25
9,925;9,95;351,165;261,655
9,9375;9,9625;331,244;252,518
9,95;9,975;350,743;287,697
9,9625;9,9875;359,735;297,503
9,975;10;358,556;287,431
9,9875;10,0125;368,027;298,305
10;10,025;385,02;310,829
