Start;Stop;;;;
4,2875;4,3125;64;163;73;153
4,3;4,325;79;167;71;154
4,3125;4,3375;94;171;76;160
4,325;4,35;93;164;86;153
4,3375;4,3625;86;161;80;160
4,35;4,375;79;160;73;169
4,3625;4,3875;70;159;68;146
4,375;4,4;74;156;71;136
4,3875;4,4125;81;155;83;155
4,4;4,425;69;150;81;154
4,4125;4,4375;70;155;83;145
4,425;4,45;78;163;84;153
4,4375;4,4625;80;170;81;149
4,45;4,475;81;166;90;154
4,4625;4,4875;74;159;87;155
4,475;4,5;81;168;80;145
4,4875;4,5125;82;168;66;145
4,5;4,525;89;154;68;146
4,5125;4,5375;90;148;81;137
4,525;4,55;84;163;82;134
4,5375;4,5625;83;171;81;154
4,55;4,575;79;162;85;154
4,5625;4,5875;86;152;86;166
4,575;4,6;76;160;76;164
4,5875;4,6125;66;156;67;144
4,6;4,625;64;148;52;142
4,6125;4,6375;45;130;35;129
4,625;4,65;28;93;26;95
4,6375;4,6625;20;85;20;63
4,65;4,675;18;82;18;49
4,6625;4,6875;20;78;18;56
4,675;4,7;26;73;22;71
4,6875;4,7125;30;74;28;82
4,7;4,725;30;89;33;83
4,7125;4,7375;29;82;29;76
4,725;4,75;28;76;26;74
4,7375;4,7625;30;81;28;81
4,75;4,775;30;82;36;91
4,7625;4,7875;34;100;36;89
4,775;4,8;38;107;28;91
4,7875;4,8125;38;94;34;94
4,8;4,825;36;91;38;86
4,8125;4,8375;40;86;42;89
4,825;4,85;48;82;50;96
4,8375;4,8625;44;84;46;100
4,85;4,875;38;93;37;99
4,8625;4,8875;45;95;43;86
4,875;4,9;51;86;48;75
4,8875;4,9125;42;86;40;89
4,9;4,925;36;90;32;99
4,9125;4,9375;41;96;43;95
4,925;4,95;48;102;58;94
4,9375;4,9625;54;103;50;95
4,95;4,975;52;97;42;97
4,9625;4,9875;49;104;55;102
4,975;5;55;112;57;100
4,9875;5,0125;56;104;52;94
5;5,025;52;107;60;93
5,0125;5,0375;51;110;59;88
5,025;5,05;47;107;50;87
5,0375;5,0625;47;118;49;96
5,05;5,075;52;122;51;103
5,0625;5,0875;58;103;54;95
5,075;5,1;56;104;47;103
5,0875;5,1125;50;111;44;103
5,1;5,125;52;111;47;98
5,1125;5,1375;51;109;48;91
5,125;5,15;50;111;48;87
5,1375;5,1625;48;109;44;89
5,15;5,175;58;102;46;93
5,1625;5,1875;59;122;55;106
5,175;5,2;44;130;56;106
5,1875;5,2125;46;115;48;97
5,2;5,225;49;106;47;94
5,2125;5,2375;51;112;51;96
5,225;5,25;48;114;52;88
5,2375;5,2625;44;111;52;89
5,25;5,275;44;106;49;87
5,2625;5,2875;42;106;46;91
5,275;5,3;41;107;44;98
5,2875;5,3125;50;143;52;124
5,3;5,325;102;223;101;198
5,3125;5,3375;171;262;139;254
5,325;5,35;144;247;100;223
5,3375;5,3625;76;197;52;166
5,35;5,375;62;186;58;184
5,3625;5,3875;63;207;65;180
5,375;5,4;62;191;58;145
5,3875;5,4125;56;177;54;135
5,4;5,425;59;193;51;141
5,4125;5,4375;56;167;57;146
5,425;5,45;51;153;53;147
5,4375;5,4625;55;159;45;156
5,45;5,475;53;151;49;143
5,4625;5,4875;52;147;48;135
5,475;5,5;48;151;36;135
5,4875;5,5125;49;154;41;122
5,5;5,525;54;151;40;122
5,5125;5,5375;62;141;42;140
5,525;5,55;58;133;44;139
5,5375;5,5625;50;129;50;123
5,55;5,575;52;135;63;123
5,5625;5,5875;65;145;63;136
5,575;5,6;66;138;66;126
5,5875;5,6125;62;136;69;118
5,6;5,625;68;153;66;140
5,6125;5,6375;63;157;67;145
5,625;5,65;61;154;65;144
5,6375;5,6625;76;155;61;147
5,65;5,675;80;134;58;140
5,6625;5,6875;78;129;59;130
5,675;5,7;81;152;62;132
5,6875;5,7125;72;159;64;146
5,7;5,725;64;149;59;139
5,7125;5,7375;69;151;60;141
5,725;5,75;66;155;59;143
5,7375;5,7625;62;159;64;134
5,75;5,775;66;158;74;138
5,7625;5,7875;59;151;61;140
5,775;5,8;55;159;53;144
5,7875;5,8125;64;161;58;138
5,8;5,825;72;151;56;138
5,8125;5,8375;63;141;44;141
5,825;5,85;62;149;46;147
5,8375;5,8625;74;159;58;152
5,85;5,875;76;158;61;147
5,8625;5,8875;83;155;60;139
5,875;5,9;83;147;58;133
5,8875;5,9125;70;152;63;131
5,9;5,925;68;162;67;145
5,9125;5,9375;73;164;69;155
5,925;5,95;72;151;74;146
5,9375;5,9625;62;145;64;146
5,95;5,975;64;153;60;153
5,9625;5,9875;73;159;75;149
5,975;6;77;146;85;127
5,9875;6,0125;76;148;80;136
6;6,025;78;157;74;147
6,0125;6,0375;82;144;66;140
6,025;6,05;74;148;62;134
6,0375;6,0625;70;156;68;133
6,05;6,075;75;154;70;140
6,0625;6,0875;79;143;75;135
6,075;6,1;83;157;79;136
6,0875;6,1125;77;163;80;146
6,1;6,125;66;155;79;147
6,1125;6,1375;57;162;74;139
6,125;6,15;59;165;71;136
6,1375;6,1625;61;153;71;129
6,15;6,175;68;145;75;134
6,1625;6,1875;80;147;77;142
6,175;6,2;80;138;74;132
6,1875;6,2125;67;129;68;128
6,2;6,225;56;147;64;125
6,2125;6,2375;45;125;55;121
6,225;6,25;36;96;41;110
6,2375;6,2625;36;114;38;118
6,25;6,275;39;123;41;121
6,2625;6,2875;36;107;42;115
6,275;6,3;32;96;44;112
6,2875;6,3125;34;108;46;110
6,3;6,325;39;119;42;119
6,3125;6,3375;40;122;39;123
6,325;6,35;44;125;47;127
6,3375;6,3625;46;136;48;122
6,35;6,375;40;135;42;119
6,3625;6,3875;37;120;53;119
6,375;6,4;50;119;63;121
6,3875;6,4125;55;120;61;118
6,4;6,425;45;116;69;113
6,4125;6,4375;42;125;66;126
6,425;6,45;54;144;54;141
6,4375;6,4625;67;138;74;141
6,45;6,475;59;131;79;135
6,4625;6,4875;75;148;80;140
6,475;6,5;79;164;84;150
6,4875;6,5125;71;149;68;141
6,5;6,525;68;137;64;123
6,5125;6,5375;64;139;68;128
6,525;6,55;68;142;64;140
6,5375;6,5625;69;142;73;146
6,55;6,575;65;144;80;141
6,5625;6,5875;60;147;74;123
6,575;6,6;70;139;70;128
6,5875;6,6125;69;142;61;135
6,6;6,625;54;143;58;123
6,6125;6,6375;53;146;67;139
6,625;6,65;59;148;81;140
6,6375;6,6625;62;139;73;123
6,65;6,675;68;137;62;116
6,6625;6,6875;63;127;65;113
6,675;6,7;57;123;70;119
6,6875;6,7125;65;129;79;131
6,7;6,725;61;136;68;139
6,7125;6,7375;47;146;49;143
6,725;6,75;42;144;54;130
6,7375;6,7625;43;143;61;131
6,75;6,775;46;152;60;134
6,7625;6,7875;46;160;59;132
6,775;6,8;52;153;74;151
6,7875;6,8125;67;148;75;148
6,8;6,825;67;148;71;139
6,8125;6,8375;67;143;87;143
6,825;6,85;68;138;78;136
6,8375;6,8625;65;146;73;140
6,85;6,875;63;144;75;143
6,8625;6,8875;67;132;64;139
