Start;Stop;;;;
4,6375;4,6625;73;119;82;114
4,65;4,675;78;118;69;115
4,6625;4,6875;75;113;78;120
4,675;4,7;68;120;88;120
4,6875;4,7125;70;116;78;114
4,7;4,725;72;112;77;115
4,7125;4,7375;78;121;83;114
4,725;4,75;85;122;87;109
4,7375;4,7625;85;125;83;107
4,75;4,775;82;118;81;116
4,7625;4,7875;80;118;75;126
4,775;4,8;78;129;74;133
4,7875;4,8125;79;131;83;134
4,8;4,825;78;145;81;136
4,8125;4,8375;74;118;79;129
4,825;4,85;78;96;82;115
4,8375;4,8625;83;109;77;102
4,85;4,875;74;109;80;98
4,8625;4,8875;73;112;78;112
4,875;4,9;78;113;72;116
4,8875;4,9125;76;116;76;110
4,9;4,925;71;117;80;113
4,9125;4,9375;68;112;78;109
4,925;4,95;73;121;78;103
4,9375;4,9625;80;115;79;103
4,95;4,975;80;106;77;106
4,9625;4,9875;68;107;78;99
4,975;5;72;112;80;96
4,9875;5,0125;83;113;80;103
5;5,025;76;110;76;96
5,0125;5,0375;72;119;75;103
5,025;5,05;71;115;74;118
5,0375;5,0625;73;102;73;110
5,05;5,075;78;96;71;94
5,0625;5,0875;71;94;70;91
5,075;5,1;64;105;69;98
5,0875;5,1125;68;114;70;94
5,1;5,125;75;107;77;94
5,1125;5,1375;77;104;79;104
5,125;5,15;80;111;84;108
5,1375;5,1625;84;115;81;116
5,15;5,175;87;115;77;117
5,1625;5,1875;80;114;79;114
5,175;5,2;72;124;78;111
5,1875;5,2125;76;138;83;113
5,2;5,225;84;151;82;125
5,2125;5,2375;80;148;77;131
5,225;5,25;73;128;74;131
5,2375;5,2625;77;134;70;137
5,25;5,275;84;155;77;137
5,2625;5,2875;78;161;86;135
5,275;5,3;80;162;88;150
5,2875;5,3125;85;168;79;160
5,3;5,325;88;167;79;155
5,3125;5,3375;97;164;81;138
5,325;5,35;103;169;71;148
5,3375;5,3625;90;172;62;174
5,35;5,375;75;179;61;172
5,3625;5,3875;74;186;61;180
5,375;5,4;61;188;61;165
5,3875;5,4125;77;197;82;151
5,4;5,425;88;191;83;171
5,4125;5,4375;88;175;81;171
5,425;5,45;84;167;82;162
5,4375;5,4625;74;161;83;161
5,45;5,475;87;161;86;161
5,4625;5,4875;100;166;78;160
5,475;5,5;94;156;83;165
5,4875;5,5125;72;158;96;156
5,5;5,525;81;178;87;152
5,5125;5,5375;105;185;76;173
5,525;5,55;106;183;81;178
5,5375;5,5625;96;180;84;159
5,55;5,575;100;182;95;161
5,5625;5,5875;100;177;81;161
5,575;5,6;86;171;66;166
5,5875;5,6125;72;159;64;166
5,6;5,625;70;141;56;144
5,6125;5,6375;63;135;59;131
5,625;5,65;58;135;60;135
5,6375;5,6625;69;138;60;141
5,65;5,675;70;141;62;137
5,6625;5,6875;61;136;78;144
5,675;5,7;62;143;78;154
5,6875;5,7125;59;153;67;150
5,7;5,725;62;149;69;143
5,7125;5,7375;75;148;60;133
5,725;5,75;76;135;64;132
5,7375;5,7625;74;131;66;135
5,75;5,775;60;142;56;132
5,7625;5,7875;54;143;63;139
5,775;5,8;58;144;62;146
5,7875;5,8125;57;148;64;145
5,8;5,825;73;152;61;151
5,8125;5,8375;83;153;58;149
5,825;5,85;73;146;72;139
5,8375;5,8625;63;133;73;138
5,85;5,875;67;134;63;142
5,8625;5,8875;70;137;62;148
5,875;5,9;60;146;70;154
5,8875;5,9125;64;154;68;152
5,9;5,925;84;163;72;147
5,9125;5,9375;82;158;79;147
5,925;5,95;59;154;72;146
5,9375;5,9625;72;170;73;152
5,95;5,975;87;175;80;158
5,9625;5,9875;79;181;69;151
5,975;6;64;172;59;157
5,9875;6,0125;65;158;75;151
6;6,025;68;170;96;149
6,0125;6,0375;60;174;94;158
6,025;6,05;67;168;73;157
6,0375;6,0625;76;149;65;149
6,05;6,075;74;129;77;137
6,0625;6,0875;82;140;83;137
6,075;6,1;97;146;70;133
6,0875;6,1125;90;154;67;129
6,1;6,125;80;164;81;135
6,1125;6,1375;80;139;81;140
6,125;6,15;78;123;78;139
