Start;Stop;;;;
4;4,025;180;198;121;158
4,0125;4,0375;198;207;120;161
4,025;4,05;171;215;73;152
4,0375;4,0625;130;222;42;131
4,05;4,075;139;213;39;125
4,0625;4,0875;174;206;43;151
4,075;4,1;178;213;66;184
4,0875;4,1125;164;213;109;207
4,1;4,125;171;216;120;214
4,1125;4,1375;159;221;101;217
4,125;4,15;134;220;85;232
4,1375;4,1625;91;202;81;232
4,15;4,175;66;171;57;202
4,1625;4,1875;62;155;24;146
4,175;4,2;71;160;30;122
4,1875;4,2125;73;162;27;95
4,2;4,225;64;167;14;73
4,2125;4,2375;87;174;10;112
4,225;4,25;113;180;17;126
4,2375;4,2625;124;191;34;117
4,25;4,275;116;196;74;131
4,2625;4,2875;111;189;91;140
4,275;4,3;131;191;81;145
4,2875;4,3125;137;201;79;149
4,3;4,325;125;197;84;150
4,3125;4,3375;134;184;88;145
4,325;4,35;151;195;91;145
4,3375;4,3625;142;206;79;156
4,35;4,375;116;184;79;151
4,3625;4,3875;106;181;80;141
4,375;4,4;103;178;78;142
4,3875;4,4125;93;153;77;154
4,4;4,425;87;126;78;147
4,4125;4,4375;102;139;88;138
4,425;4,45;113;170;92;151
4,4375;4,4625;97;162;77;151
4,45;4,475;85;137;64;145
4,4625;4,4875;94;138;81;137
4,475;4,5;94;147;95;131
4,4875;4,5125;95;151;90;131
4,5;4,525;88;156;77;144
4,5125;4,5375;92;155;88;148
4,525;4,55;57;154;92;136
4,5375;4,5625;26;165;88;133
4,55;4,575;48;170;97;132
4,5625;4,5875;63;156;97;143
4,575;4,6;58;151;104;150
4,5875;4,6125;55;154;104;147
4,6;4,625;74;154;94;145
4,6125;4,6375;76;148;86;143
4,625;4,65;68;142;68;144
4,6375;4,6625;81;144;59;150
4,65;4,675;91;155;74;152
4,6625;4,6875;89;155;81;159
4,675;4,7;94;153;66;149
4,6875;4,7125;93;156;63;139
4,7;4,725;79;164;84;147
4,7125;4,7375;78;158;94;141
4,725;4,75;81;152;90;145
4,7375;4,7625;86;157;55;149
4,75;4,775;81;149;46;147
4,7625;4,7875;73;157;69;166
4,775;4,8;77;166;70;174
4,7875;4,8125;60;151;67;178
4,8;4,825;61;145;63;157
4,8125;4,8375;84;147;61;146
4,825;4,85;86;146;63;141
4,8375;4,8625;89;152;71;135
4,85;4,875;80;150;64;149
4,8625;4,8875;64;149;69;158
4,875;4,9;63;154;76;155
4,8875;4,9125;58;163;77;153
4,9;4,925;66;163;81;159
4,9125;4,9375;57;156;64;160
4,925;4,95;60;163;58;153
4,9375;4,9625;66;159;66;150
4,95;4,975;50;156;52;168
4,9625;4,9875;54;163;46;176
4,975;5;46;164;64;166
4,9875;5,0125;46;165;66;162
5;5,025;57;164;62;164
5,0125;5,0375;45;165;69;169
5,025;5,05;39;172;69;167
5,0375;5,0625;38;170;60;158
5,05;5,075;42;174;53;152
5,0625;5,0875;52;173;52;163
5,075;5,1;85;179;49;181
5,0875;5,1125;132;203;67;170
5,1;5,125;132;212;100;168
5,1125;5,1375;98;199;87;163
5,125;5,15;81;187;74;162
5,1375;5,1625;80;179;68;174
5,15;5,175;74;173;49;170
5,1625;5,1875;82;178;39;150
5,175;5,2;69;185;37;149
5,1875;5,2125;49;187;55;174
5,2;5,225;64;177;72;170
5,2125;5,2375;65;176;70;171
5,225;5,25;58;176;54;192
5,2375;5,2625;68;173;51;178
5,25;5,275;80;175;77;197
5,2625;5,2875;81;158;99;231
5,275;5,3;51;160;108;234
5,2875;5,3125;47;178;90;221
5,3;5,325;69;181;67;204
5,3125;5,3375;70;177;55;194
5,325;5,35;64;165;52;180
5,3375;5,3625;84;181;68;168
5,35;5,375;106;192;70;170
5,3625;5,3875;86;193;70;169
5,375;5,4;65;200;74;174
5,3875;5,4125;76;199;78;182
5,4;5,425;103;202;89;174
