Start,Stop,,
4.525,4.55,3003.49,190.915
4.5375,4.5625,1932.62,177.198
4.55,4.575,586.951,169.835
4.5625,4.5875,514.637,172.295
4.575,4.6,279.687,155.859
4.5875,4.6125,282.503,155.339
4.6,4.625,203.286,150.9
4.6125,4.6375,159.806,157.98
4.625,4.65,192.766,299.741
4.6375,4.6625,209.928,350.228
4.65,4.675,194.246,260.584
4.6625,4.6875,179.517,501.711
4.675,4.7,163.524,568.97
4.6875,4.7125,158.366,324.55
4.7,4.725,178.226,158.963
4.7125,4.7375,192,166.727
4.725,4.75,178.205,168.368
4.7375,4.7625,151.466,417.921
4.75,4.775,145.465,440.437
4.7625,4.7875,161.813,230.755
4.775,4.8,174.317,243.767
4.7875,4.8125,173.769,224.575
4.8,4.825,150.158,151.357
4.8125,4.8375,120.698,139.55
4.825,4.85,98.6909,132.239
4.8375,4.8625,92.0791,121.946
4.85,4.875,106.733,138.661
4.8625,4.8875,120.012,138.131
4.875,4.9,116.529,114.036
4.8875,4.9125,119.313,109.82
4.9,4.925,130.03,99.2959
4.9125,4.9375,135.9,113.541
4.925,4.95,120.182,130.983
4.9375,4.9625,109.302,263.442
4.95,4.975,113.992,423.587
4.9625,4.9875,113.715,391.47
4.975,5,134.753,200.764
4.9875,5.0125,125.058,96.5099
5,5.025,99.3943,85.7504
5.0125,5.0375,100.642,84.7161
5.025,5.05,106.415,77.8443
5.0375,5.0625,187.752,77.7291
5.05,5.075,199.574,89.7084
5.0625,5.0875,186.032,138.256
5.075,5.1,169.108,156.772
5.0875,5.1125,107.531,107.84
5.1,5.125,133.148,60.769
5.1125,5.1375,134.32,67.978
5.125,5.15,107.931,69.1118
5.1375,5.1625,99.5645,88.1502
5.15,5.175,85.4675,139.498
5.1625,5.1875,65.1479,756.511
5.175,5.2,87.4337,789.719
5.1875,5.2125,128.844,262.638
5.2,5.225,126.558,83.47
5.2125,5.2375,94.2481,74.3666
5.225,5.25,78.6833,87.4132
5.2375,5.2625,68.4624,225.071
5.25,5.275,65.6961,339.65
5.2625,5.2875,701.489,375.061
5.275,5.3,743.172,315.776
5.2875,5.3125,261.655,455.049
5.3,5.325,125.419,442.951
5.3125,5.3375,246.104,178.92
5.325,5.35,345.353,128.222
5.3375,5.3625,337.001,66.7385
5.35,5.375,470.138,59.0831
5.3625,5.3875,450.127,59.7004
5.375,5.4,176.988,56.4075
