Start;Stop;;
3,3;3,325;8373,93;8438,9
3,3125;3,3375;6342,91;6503,44
3,325;3,35;4572,81;4869
3,3375;3,3625;2747,42;3050,32
3,35;3,375;1382,99;1366,67
3,3625;3,3875;932,762;894,773
3,375;3,4;860,568;794,434
3,3875;3,4125;836,227;708,636
3,4;3,425;732,68;682,871
3,4125;3,4375;679,17;695,193
3,425;3,45;675,533;696,53
3,4375;3,4625;566,41;625,768
3,45;3,475;467,832;539,894
3,4625;3,4875;376,601;416,161
3,475;3,5;319,274;288,303
3,4875;3,5125;277,297;233,749
3,5;3,525;247,684;202,78
3,5125;3,5375;209,158;162,709
3,525;3,55;186,042;143,572
3,5375;3,5625;215,44;203,749
3,55;3,575;411,374;490,569
3,5625;3,5875;983,97;1313,94
3,575;3,6;1133,26;1698,35
3,5875;3,6125;946,607;1699,06
3,6;3,625;1055,1;1892,95
3,6125;3,6375;1375,84;2185,89
3,625;3,65;1407,78;2128,54
3,6375;3,6625;1125,63;1838,3
3,65;3,675;1049,22;1609,39
3,6625;3,6875;1010,81;1377,2
3,675;3,7;921,713;1286,63
3,6875;3,7125;939,012;1221,43
3,7;3,725;867,487;1111,65
3,7125;3,7375;836,837;1022,11
3,725;3,75;878,607;1020,98
3,7375;3,7625;764,515;954,136
3,75;3,775;741,319;926,306
3,7625;3,7875;768,628;856,387
3,775;3,8;688,313;700,842
3,7875;3,8125;654,146;769,481
3,8;3,825;762,194;831,452
3,8125;3,8375;806,906;824,781
3,825;3,85;757,111;767,216
3,8375;3,8625;703,272;756,241
3,85;3,875;682,226;789,747
3,8625;3,8875;734,855;771,574
3,875;3,9;702,083;780,333
3,8875;3,9125;650,683;791,252
3,9;3,925;597,267;759,153
3,9125;3,9375;606,464;683,241
3,925;3,95;577,712;648,377
3,9375;3,9625;473,425;563,864
3,95;3,975;464,775;519,688
3,9625;3,9875;401,084;508,37
3,975;4;325,406;394,548
3,9875;4,0125;345,612;467,056
4;4,025;354,222;508,875
4,0125;4,0375;316,328;429,852
4,025;4,05;293,694;385,865
4,0375;4,0625;315,892;408,165
4,05;4,075;315,838;413,889
4,0625;4,0875;309,096;416,377
4,075;4,1;344,192;521,269
4,0875;4,1125;341,137;503,452
4,1;4,125;328,187;438,756
4,1125;4,1375;311,054;404,31
4,125;4,15;277,348;389,05
