Start;Stop;;;;
4,45;4,475;80;115;75;96
4,4625;4,4875;87;126;78;102
4,475;4,5;84;126;77;127
4,4875;4,5125;67;128;69;137
4,5;4,525;61;125;69;112
4,5125;4,5375;70;119;74;94
4,525;4,55;66;124;72;106
4,5375;4,5625;70;119;69;104
4,55;4,575;76;109;86;113
4,5625;4,5875;78;114;84;113
4,575;4,6;76;121;71;103
4,5875;4,6125;74;125;74;112
4,6;4,625;75;118;75;102
4,6125;4,6375;75;114;71;104
4,625;4,65;72;130;70;114
4,6375;4,6625;75;134;74;106
4,65;4,675;83;136;76;110
4,6625;4,6875;87;149;75;114
4,675;4,7;88;144;72;130
4,6875;4,7125;79;130;81;145
4,7;4,725;73;145;86;126
4,7125;4,7375;73;149;84;121
4,725;4,75;75;134;80;132
4,7375;4,7625;82;146;83;143
4,75;4,775;83;143;81;149
4,7625;4,7875;80;129;70;133
4,775;4,8;79;138;70;141
4,7875;4,8125;81;150;83;164
4,8;4,825;78;148;85;145
4,8125;4,8375;78;141;77;119
4,825;4,85;87;144;73;109
4,8375;4,8625;86;147;77;108
4,85;4,875;86;143;76;125
4,8625;4,8875;86;141;65;132
4,875;4,9;85;138;68;133
4,8875;4,9125;91;135;83;144
4,9;4,925;89;137;85;146
4,9125;4,9375;87;149;70;129
4,925;4,95;78;144;68;111
4,9375;4,9625;80;145;82;117
4,95;4,975;89;141;80;120
4,9625;4,9875;84;132;72;119
4,975;5;76;123;68;101
4,9875;5,0125;68;130;63;93
5;5,025;76;157;67;107
5,0125;5,0375;94;156;75;118
5,025;5,05;93;145;82;126
5,0375;5,0625;86;145;85;124
5,05;5,075;80;149;75;114
5,0625;5,0875;74;149;75;122
5,075;5,1;83;149;74;147
5,0875;5,1125;87;140;69;132
5,1;5,125;73;117;71;111
5,1125;5,1375;57;103;65;99
5,125;5,15;52;86;59;80
5,1375;5,1625;54;80;58;82
5,15;5,175;61;88;54;101
5,1625;5,1875;60;95;55;98
5,175;5,2;44;91;44;76
5,1875;5,2125;34;66;36;67
5,2;5,225;33;58;35;62
5,2125;5,2375;27;54;27;57
5,225;5,25;24;52;26;60
5,2375;5,2625;21;53;23;50
5,25;5,275;19;46;19;41
5,2625;5,2875;20;43;20;33
5,275;5,3;22;42;19;42
5,2875;5,3125;23;43;21;40
5,3;5,325;20;42;20;28
5,3125;5,3375;20;31;20;27
5,325;5,35;19;33;20;27
5,3375;5,3625;17;41;21;30
5,35;5,375;19;37;21;31
5,3625;5,3875;21;29;21;29
5,375;5,4;21;25;22;31
5,3875;5,4125;21;33;21;35
5,4;5,425;21;39;21;31
5,4125;5,4375;20;45;22;29
5,425;5,45;21;50;21;30
5,4375;5,4625;21;43;21;35
5,45;5,475;21;34;21;38
5,4625;5,4875;20;32;20;39
5,475;5,5;20;34;20;36
5,4875;5,5125;20;36;20;34
5,5;5,525;20;45;20;30
5,5125;5,5375;16;51;20;33
5,525;5,55;14;46;20;42
5,5375;5,5625;14;53;18;57
5,55;5,575;16;55;17;61
5,5625;5,5875;20;52;24;56
5,575;5,6;21;62;28;62
5,5875;5,6125;25;63;27;64
5,6;5,625;29;75;33;71
5,6125;5,6375;36;92;45;95
5,625;5,65;43;91;55;104
5,6375;5,6625;44;97;62;99
5,65;5,675;46;111;62;110
5,6625;5,6875;56;119;59;114
5,675;5,7;63;117;58;105
5,6875;5,7125;66;122;59;118
5,7;5,725;68;128;68;128
5,7125;5,7375;73;125;72;117
5,725;5,75;79;134;61;127
5,7375;5,7625;66;147;62;132
5,75;5,775;65;147;68;128
5,7625;5,7875;71;139;58;139
5,775;5,8;61;146;58;133
5,7875;5,8125;60;158;59;118
5,8;5,825;68;159;60;126
5,8125;5,8375;64;155;51;132
5,825;5,85;56;145;46;123
5,8375;5,8625;57;148;45;131
5,85;5,875;49;144;30;132
5,8625;5,8875;57;140;40;136
5,875;5,9;82;157;53;150
5,8875;5,9125;99;177;55;152
5,9;5,925;95;177;56;146
5,9125;5,9375;66;153;64;142
5,925;5,95;58;139;71;149
5,9375;5,9625;63;147;57;131
5,95;5,975;46;129;35;108
5,9625;5,9875;28;81;29;77
5,975;6;23;68;29;68
5,9875;6,0125;29;71;30;71
6;6,025;35;65;37;59
6,0125;6,0375;31;63;36;62
6,025;6,05;33;60;41;62
6,0375;6,0625;38;58;49;58
6,05;6,075;40;57;44;54
6,0625;6,0875;37;53;40;52
6,075;6,1;36;58;37;64
6,0875;6,1125;38;57;38;63
6,1;6,125;36;59;44;58
6,1125;6,1375;35;58;42;57
6,125;6,15;34;54;36;58
6,1375;6,1625;29;56;29;58
6,15;6,175;29;58;29;60
6,1625;6,1875;26;58;26;56
6,175;6,2;17;51;17;42
6,1875;6,2125;16;51;14;52
6,2;6,225;22;65;20;65
6,2125;6,2375;23;68;27;76
6,225;6,25;26;82;33;70
6,2375;6,2625;33;92;39;66
6,25;6,275;33;87;37;86
6,2625;6,2875;26;79;28;88
6,275;6,3;19;72;23;79
6,2875;6,3125;19;71;29;73
6,3;6,325;18;77;26;78
6,3125;6,3375;25;100;27;98
6,325;6,35;29;113;29;108
6,3375;6,3625;24;110;29;111
6,35;6,375;23;106;27;117
6,3625;6,3875;21;107;21;104
6,375;6,4;16;102;30;105
6,3875;6,4125;11;98;31;113
6,4;6,425;11;86;28;96
6,4125;6,4375;13;77;33;92
6,425;6,45;20;82;29;95
6,4375;6,4625;34;93;28;95
6,45;6,475;35;95;31;94
6,4625;6,4875;31;88;33;89
6,475;6,5;25;89;31;79
6,4875;6,5125;22;85;25;73
6,5;6,525;21;81;24;82
6,5125;6,5375;17;91;18;111
6,525;6,55;18;117;15;142
6,5375;6,5625;16;129;18;141
6,55;6,575;17;136;21;137
6,5625;6,5875;17;160;25;148
6,575;6,6;17;180;28;159
6,5875;6,6125;25;174;23;163
6,6;6,625;38;163;23;164
6,6125;6,6375;49;163;34;159
6,625;6,65;69;180;52;192
6,6375;6,6625;111;212;89;208
6,65;6,675;107;209;105;195
6,6625;6,6875;131;216;127;217
6,675;6,7;178;247;161;232
6,6875;6,7125;160;231;159;227
6,7;6,725;131;190;144;195
6,7125;6,7375;104;151;102;148
6,725;6,75;62;116;51;120
6,7375;6,7625;30;97;25;97
6,75;6,775;26;88;20;84
6,7625;6,7875;31;92;21;95
6,775;6,8;31;93;21;104
6,7875;6,8125;26;89;18;106
6,8;6,825;25;101;19;104
6,8125;6,8375;19;95;19;101
6,825;6,85;19;82;17;96
6,8375;6,8625;21;82;17;99
6,85;6,875;20;78;17;96
6,8625;6,8875;19;71;18;83
6,875;6,9;20;65;19;76
6,8875;6,9125;21;70;21;88
6,9;6,925;19;71;19;96
6,9125;6,9375;16;67;18;88
6,925;6,95;13;76;20;79
6,9375;6,9625;14;85;22;90
6,95;6,975;18;78;21;99
6,9625;6,9875;18;69;18;85
6,975;7;25;73;19;81
6,9875;7,0125;27;82;20;80
7;7,025;23;93;21;92
7,0125;7,0375;32;115;47;141
7,025;7,05;40;135;59;161
7,0375;7,0625;32;125;33;140
7,05;7,075;25;122;18;136
7,0625;7,0875;24;136;22;133
7,075;7,1;28;140;36;128
7,0875;7,1125;43;141;58;134
7,1;7,125;53;141;73;131
7,1125;7,1375;58;130;70;126
7,125;7,15;72;129;63;128
7,1375;7,1625;75;132;78;145
7,15;7,175;43;131;59;140
7,1625;7,1875;16;97;20;91
7,175;7,2;17;83;20;86
7,1875;7,2125;25;102;25;102
7,2;7,225;23;94;21;93
7,2125;7,2375;23;78;19;88
7,225;7,25;24;68;20;88
7,2375;7,2625;19;74;20;90
7,25;7,275;17;97;21;99
7,2625;7,2875;19;106;20;105
7,275;7,3;25;101;25;105
7,2875;7,3125;25;95;27;105
7,3;7,325;22;89;22;105
7,3125;7,3375;27;91;23;103
7,325;7,35;29;88;25;102
7,3375;7,3625;31;88;27;98
7,35;7,375;31;93;24;93
7,3625;7,3875;24;88;20;85
7,375;7,4;22;88;22;86
7,3875;7,4125;22;92;18;93
7,4;7,425;20;90;16;93
7,4125;7,4375;21;87;19;88
7,425;7,45;22;74;20;82
7,4375;7,4625;27;73;18;88
7,45;7,475;23;84;15;101
7,4625;7,4875;24;95;16;106
7,475;7,5;30;94;14;100
7,4875;7,5125;16;83;16;92
7,5;7,525;12;100;20;105
7,5125;7,5375;12;109;16;115
7,525;7,55;25;110;15;103
7,5375;7,5625;41;138;25;116
7,55;7,575;30;159;31;142
7,5625;7,5875;30;157;30;147
7,575;7,6;41;157;48;147
7,5875;7,6125;43;160;55;151
7,6;7,625;44;159;37;165
7,6125;7,6375;46;149;40;154
7,625;7,65;27;125;28;112
7,6375;7,6625;12;97;12;106
7,65;7,675;15;75;15;106
7,6625;7,6875;15;70;13;86
7,675;7,7;17;86;11;95
7,6875;7,7125;18;94;12;103
7,7;7,725;22;102;20;100
7,7125;7,7375;19;93;23;101
7,725;7,75;14;84;26;91
7,7375;7,7625;16;85;30;83
7,75;7,775;27;91;33;96
7,7625;7,7875;33;98;33;108
7,775;7,8;29;78;27;85
7,7875;7,8125;25;69;25;73
7,8;7,825;18;70;22;83
7,8125;7,8375;20;76;25;80
7,825;7,85;20;77;27;72
7,8375;7,8625;15;71;25;80
7,85;7,875;15;70;21;89
7,8625;7,8875;16;79;23;93
7,875;7,9;24;94;24;99
7,8875;7,9125;25;94;22;109
7,9;7,925;21;91;23;107
7,9125;7,9375;18;94;22;100
7,925;7,95;13;103;15;106
7,9375;7,9625;21;120;16;112
7,95;7,975;28;139;28;113
7,9625;7,9875;27;142;22;116
7,975;8;21;130;18;119
