Start;Stop;;
3,7625;3,7875;66,8581;62,1553
3,775;3,8;62,9073;64,4973
3,7875;3,8125;68,2605;69,3271
3,8;3,825;71,1593;63,959
3,8125;3,8375;71,1849;72,6291
3,825;3,85;61,1299;75,5721
3,8375;3,8625;53,7008;69,2369
3,85;3,875;63,4935;68,224
3,8625;3,8875;74,664;80,4883
3,875;3,9;72,5586;90,666
3,8875;3,9125;64,4198;86,8768
3,9;3,925;93179,7;36574,6
3,9125;3,9375;93573,2;37537,8
3,925;3,95;10678,9;10217,2
3,9375;3,9625;8288,24;10041,7
3,95;3,975;7586,53;10090,6
3,9625;3,9875;7150,86;7845,93
3,975;4;5740,6;6165,86
3,9875;4,0125;4393,83;4263,29
4;4,025;3560,6;4008,42
4,0125;4,0375;2889,41;3771,4
4,025;4,05;2782,03;3058,45
4,0375;4,0625;2504,52;2363,64
4,05;4,075;1849,21;1977,72
4,0625;4,0875;1390,72;1633,36
4,075;4,1;1231,38;1296,01
4,0875;4,1125;1076,15;1132,42
4,1;4,125;841,344;968,817
4,1125;4,1375;746,462;853,478
4,125;4,15;659,298;700,19
4,1375;4,1625;540,509;591,917
4,15;4,175;439,052;524,278
4,1625;4,1875;346,672;494,056
4,175;4,2;334,062;389,984
4,1875;4,2125;309,953;301,859
4,2;4,225;252,23;275,69
4,2125;4,2375;205,131;264,885
4,225;4,25;171,189;239,687
4,2375;4,2625;161,02;219,218
4,25;4,275;151,259;189,062
4,2625;4,2875;140,192;167,667
4,275;4,3;136,123;155,459
4,2875;4,3125;141,749;157,961
4,3;4,325;135,129;165,353
4,3125;4,3375;113,075;139,029
4,325;4,35;97,6138;114,533
4,3375;4,3625;85,6199;119,51
4,35;4,375;84,6738;115,508
4,3625;4,3875;87,7586;109,848
4,375;4,4;86,6836;103,661
4,3875;4,4125;78,0146;101,61
4,4;4,425;102,662;108,803
4,4125;4,4375;120,42;97,5753
4,425;4,45;103,181;96,6156
4,4375;4,4625;87,5893;112,273
4,45;4,475;88,5812;107,964
4,4625;4,4875;84,8717;98,6819
4,475;4,5;84,0986;90,4798
4,4875;4,5125;88,9988;75,9229
4,5;4,525;78,8085;72,9587
4,5125;4,5375;74,2995;72,6412
4,525;4,55;79,0571;80,8938
4,5375;4,5625;77,1277;88,4761
4,55;4,575;19579,6;29014,4
4,5625;4,5875;20682,3;30371,7
4,575;4,6;8283,08;9930,01
4,5875;4,6125;6627,16;6945,07
4,6;4,625;5694,75;6816,79
4,6125;4,6375;4198,34;5101,95
4,625;4,65;3035,85;4222,36
4,6375;4,6625;2908,71;3579,28
4,65;4,675;2478,15;2853,7
4,6625;4,6875;1842,42;2344,62
4,675;4,7;1551,4;2019,18
4,6875;4,7125;1491,32;1741,11
4,7;4,725;1391,81;1414,53
4,7125;4,7375;1112,76;1213,24
4,725;4,75;916,406;974,294
4,7375;4,7625;774,887;882,751
4,75;4,775;666,06;811,625
4,7625;4,7875;539,533;631,824
4,775;4,8;525,483;499,533
4,7875;4,8125;455,449;439,823
4,8;4,825;355,714;377,003
4,8125;4,8375;323,155;327,644
4,825;4,85;249,047;248,032
4,8375;4,8625;206,512;237,786
4,85;4,875;183,574;248,317
4,8625;4,8875;173,154;211,231
4,875;4,9;156,962;173,887
4,8875;4,9125;146,287;145,994
4,9;4,925;130,762;133,498
4,9125;4,9375;124,76;135,241
4,925;4,95;117,914;122,582
4,9375;4,9625;97,8707;106,756
4,95;4,975;94,3263;109,07
4,9625;4,9875;94,5399;112,866
4,975;5;92,2866;106,088
4,9875;5,0125;89,6108;96,426
5;5,025;80,4638;102,005
5,0125;5,0375;85,136;103,058
5,025;5,05;91,4048;101,378
5,0375;5,0625;82,0393;107,362
5,05;5,075;79,1041;108,506
5,0625;5,0875;88,4024;114,187
5,075;5,1;97,7387;118,446
5,0875;5,1125;103,335;116,165
5,1;5,125;115,455;129,282
5,1125;5,1375;124,891;143,675
5,125;5,15;114,125;144,03
5,1375;5,1625;5935,36;6373,28
5,15;5,175;6235,73;6645,43
5,1625;5,1875;2563,32;2349,84
5,175;5,2;2159,06;1853,95
5,1875;5,2125;1636,1;1633,6
5,2;5,225;1332,85;1397,68
5,2125;5,2375;1213,47;1161,68
5,225;5,25;1036,23;963,187
5,2375;5,2625;842,085;807,599
5,25;5,275;664,013;701,473
5,2625;5,2875;537,673;502,659
5,275;5,3;432,538;404,365
5,2875;5,3125;407,586;403,527
5,3;5,325;373,101;381,58
5,3125;5,3375;333,272;328,929
5,325;5,35;309,284;272,053
5,3375;5,3625;257,689;225,82
5,35;5,375;219,25;193,111
5,3625;5,3875;179,503;166,393
5,375;5,4;152,413;133,849
5,3875;5,4125;154,32;128,915
5,4;5,425;141,061;127,155
5,4125;5,4375;128,125;112,338
5,425;5,45;124,395;101,294
5,4375;5,4625;115,998;96,2739
5,45;5,475;112,141;95,6767
5,4625;5,4875;111,925;104,377
5,475;5,5;105,158;113,886
5,4875;5,5125;108,992;110,991
5,5;5,525;105,263;99,2719
5,5125;5,5375;103,697;86,6312
5,525;5,55;108,263;101,375
5,5375;5,5625;120,982;114,134
5,55;5,575;113,82;106,556
5,5625;5,5875;96,1436;104,885
5,575;5,6;104,161;107,488
5,5875;5,6125;101,418;100,79
5,6;5,625;90,2345;85,2487
5,6125;5,6375;85,3177;80,4108
5,625;5,65;89,6675;81,2157
5,6375;5,6625;100,039;83,019
5,65;5,675;95,4937;79,5284
5,6625;5,6875;87,5512;75,5621
5,675;5,7;92,1962;78,8038
5,6875;5,7125;94,1776;73,717
5,7;5,725;84,6314;77,0213
5,7125;5,7375;71,002;78,8082
5,725;5,75;22267,1;18397
5,7375;5,7625;23417,2;19416,9
5,75;5,775;8646,84;6937,66
5,7625;5,7875;6639,5;4353,31
5,775;5,8;5626,34;3779,28
5,7875;5,8125;4344,71;3080,52
5,8;5,825;3724,51;2851,55
5,8125;5,8375;3030,84;2324,11
5,825;5,85;2642,33;1851,2
5,8375;5,8625;2114,94;1585,41
5,85;5,875;1795,41;1291,55
5,8625;5,8875;1481,27;1224,66
5,875;5,9;1306,75;1106,44
5,8875;5,9125;1221,39;863,779
5,9;5,925;1075,62;753,746
5,9125;5,9375;884,167;665,73
5,925;5,95;652,643;511,581
5,9375;5,9625;595,385;374,39
5,95;5,975;512,116;340,796
5,9625;5,9875;379,198;299,404
5,975;6;544,93;243,764
5,9875;6,0125;910,745;208,021
6;6,025;1346,89;173,768
6,0125;6,0375;1275,94;143,942
6,025;6,05;678,335;152,895
6,0375;6,0625;345,623;148,892
6,05;6,075;831,439;118,259
6,0625;6,0875;802,371;101,745
6,075;6,1;271,651;96,6159
6,0875;6,1125;229,099;102,302
6,1;6,125;183,348;104,67
6,1125;6,1375;243,583;99,7543
6,125;6,15;205,607;96,3149
6,1375;6,1625;100,79;88,4745
6,15;6,175;95,6411;78,5118
6,1625;6,1875;98,2983;80,3727
6,175;6,2;92,8029;91,4294
6,1875;6,2125;82,3959;81,6754
6,2;6,225;77,8851;69,0347
6,2125;6,2375;90,1512;81,2357
6,225;6,25;100,881;76,6037
6,2375;6,2625;89,6555;70,0028
6,25;6,275;78,8799;70,0075
6,2625;6,2875;78,9227;69,3424
6,275;6,3;79,4017;75,0908
6,2875;6,3125;77,8273;69,1692
6,3;6,325;78,6543;63,9363
6,3125;6,3375;88,875;67,5393
6,325;6,35;88,9497;72,661
6,3375;6,3625;86,8201;75,2575
6,35;6,375;13602,3;19573,1
6,3625;6,3875;15884,9;20385,7
6,375;6,4;8819,5;6043,2
6,3875;6,4125;4815,88;3274,29
6,4;6,425;4139,26;3318,38
6,4125;6,4375;2810,29;2616,29
6,425;6,45;2508,74;2173,94
6,4375;6,4625;2341,66;1875,53
6,45;6,475;2110,28;1677,99
6,4625;6,4875;1625,39;1637,34
6,475;6,5;1233,07;1287,63
6,4875;6,5125;1140,05;940,365
6,5;6,525;1021,67;796,853
6,5125;6,5375;857,632;669,527
6,525;6,55;707,07;595,853
6,5375;6,5625;525,399;501,843
6,55;6,575;490,554;394,112
6,5625;6,5875;453,195;350,858
6,575;6,6;352,44;361,17
6,5875;6,6125;289,49;286,641
6,6;6,625;276,089;187,397
6,6125;6,6375;245,298;180,153
6,625;6,65;196,121;162,177
6,6375;6,6625;181,639;138,22
6,65;6,675;152,932;121,12
6,6625;6,6875;152,989;120,638
6,675;6,7;139,576;118,427
6,6875;6,7125;108,066;99,6092
6,7;6,725;111,151;93,7242
6,7125;6,7375;107,05;94,209
6,725;6,75;102,669;100,535
6,7375;6,7625;100,576;97,2942
6,75;6,775;96,7346;86,7164
6,7625;6,7875;101,471;84,527
6,775;6,8;96,6215;89,343
6,7875;6,8125;106,819;97,7248
6,8;6,825;112,384;94,7636
6,8125;6,8375;106,207;88,8515
6,825;6,85;113,523;83,183
6,8375;6,8625;102,993;83,4569
6,85;6,875;424,45;84,2658
6,8625;6,8875;562,464;76,4371
6,875;6,9;451,056;75,0629
6,8875;6,9125;288,73;78,2257
6,9;6,925;196,824;75,6717
6,9125;6,9375;199,754;76,2391
6,925;6,95;180,017;77,234
6,9375;6,9625;143,724;80,0153
6,95;6,975;194,594;82,6457
6,9625;6,9875;217,09;80,0973
6,975;7;177,714;78,3167
6,9875;7,0125;153,5;85,5413
7;7,025;136,604;89,6078
7,0125;7,0375;176,966;80,805
7,025;7,05;39917,5;40308,6
7,0375;7,0625;43084,1;42439,7
7,05;7,075;18390,1;14743,8
7,0625;7,0875;11114,7;8775,62
7,075;7,1;8971,47;7405,54
7,0875;7,1125;7160,91;6200,62
7,1;7,125;5838,36;5852,87
7,1125;7,1375;5185,58;4593,92
7,125;7,15;4329,9;3082,07
7,1375;7,1625;3646,81;2376,78
7,15;7,175;3148,77;2084,88
7,1625;7,1875;2559,19;1959,39
7,175;7,2;2239,95;1791,08
7,1875;7,2125;1887,83;1422,5
7,2;7,225;1509,88;1297,82
7,2125;7,2375;1121,39;1080,54
7,225;7,25;951,554;780,237
7,2375;7,2625;930,666;703,655
7,25;7,275;801,095;711,341
7,2625;7,2875;588,494;604,457
7,275;7,3;521,391;480,447
7,2875;7,3125;439,112;407,153
7,3;7,325;406,339;323,007
7,3125;7,3375;377,323;299,282
7,325;7,35;308,405;262,937
7,3375;7,3625;247,771;201,544
7,35;7,375;230,638;167,425
7,3625;7,3875;192,155;157,994
7,375;7,4;173,74;140,098
7,3875;7,4125;156,305;113,508
7,4;7,425;131,631;108,682
7,4125;7,4375;118,359;102,296
7,425;7,45;113,388;96,9847
7,4375;7,4625;105,197;94,4127
7,45;7,475;101,656;84,7977
7,4625;7,4875;96,0047;84,8721
7,475;7,5;90,4212;81,3837
7,4875;7,5125;90,5438;86,1783
7,5;7,525;77,5328;84,081
7,5125;7,5375;81,8021;77,7406
7,525;7,55;88,6451;83,6913
7,5375;7,5625;91,9717;85,8775
7,55;7,575;91,8723;83,592
7,5625;7,5875;85,179;86,1638
7,575;7,6;94,8923;92,9111
7,5875;7,6125;91,7202;85,159
7,6;7,625;86,8018;83,3007
7,6125;7,6375;106,028;97,3581
7,625;7,65;112,874;102,476
7,6375;7,6625;109,518;105,123
7,65;7,675;117,033;107,852
7,6625;7,6875;111,415;108,643
7,675;7,7;4722,69;5886,43
7,6875;7,7125;6196,96;6680,15
7,7;7,725;4295,94;3635,56
