Start;Stop;;;;
4,3375;4,3625;30;130;35;128
4,35;4,375;44;127;44;131
4,3625;4,3875;58;127;51;137
4,375;4,4;63;133;47;138
4,3875;4,4125;58;133;54;131
4,4;4,425;58;136;56;138
4,4125;4,4375;57;156;47;149
4,425;4,45;48;169;48;150
4,4375;4,4625;55;158;55;153
4,45;4,475;73;147;63;156
4,4625;4,4875;78;154;74;156
4,475;4,5;68;159;68;152
4,4875;4,5125;64;156;62;140
4,5;4,525;58;149;60;139
4,5125;4,5375;76;148;62;156
4,525;4,55;84;154;67;156
4,5375;4,5625;57;161;61;141
4,55;4,575;55;161;63;149
4,5625;4,5875;69;148;60;148
4,575;4,6;67;148;57;139
4,5875;4,6125;64;151;54;148
4,6;4,625;68;155;53;141
4,6125;4,6375;64;154;50;133
4,625;4,65;55;148;45;128
4,6375;4,6625;61;153;59;128
4,65;4,675;62;149;64;131
4,6625;4,6875;59;153;56;136
4,675;4,7;57;160;53;151
4,6875;4,7125;67;156;65;154
4,7;4,725;78;153;64;145
4,7125;4,7375;68;162;60;138
4,725;4,75;63;147;63;132
4,7375;4,7625;58;135;60;123
4,75;4,775;59;138;61;124
4,7625;4,7875;80;147;62;138
4,775;4,8;91;154;63;149
4,7875;4,8125;77;145;69;152
4,8;4,825;82;132;88;132
4,8125;4,8375;88;117;88;113
4,825;4,85;80;106;76;102
4,8375;4,8625;67;97;69;94
4,85;4,875;54;93;61;97
4,8625;4,8875;52;101;65;102
4,875;4,9;57;107;65;101
4,8875;4,9125;51;94;56;93
4,9;4,925;44;90;51;96
4,9125;4,9375;54;103;52;99
4,925;4,95;59;118;52;94
4,9375;4,9625;53;108;47;98
4,95;4,975;47;98;42;110
4,9625;4,9875;41;101;47;108
4,975;5;42;105;46;95
4,9875;5,0125;48;104;44;94
5;5,025;49;92;51;98
5,0125;5,0375;47;92;53;99
5,025;5,05;48;91;60;95
5,0375;5,0625;61;95;67;97
5,05;5,075;60;95;58;91
5,0625;5,0875;56;91;49;83
5,075;5,1;64;97;56;89
5,0875;5,1125;62;113;58;97
5,1;5,125;60;115;60;97
5,1125;5,1375;54;102;56;97
5,125;5,15;57;94;57;98
5,1375;5,1625;96;124;87;122
5,15;5,175;138;180;124;166
5,1625;5,1875;146;193;135;178
5,175;5,2;138;178;124;171
5,1875;5,2125;120;166;106;159
5,2;5,225;113;161;93;153
5,2125;5,2375;102;143;92;143
5,225;5,25;91;131;90;127
5,2375;5,2625;87;138;81;126
5,25;5,275;96;143;78;137
5,2625;5,2875;100;135;81;133
5,275;5,3;80;125;78;119
5,2875;5,3125;69;126;71;125
5,3;5,325;67;114;62;114
5,3125;5,3375;66;108;57;104
5,325;5,35;63;109;57;110
5,3375;5,3625;64;105;62;105
5,35;5,375;68;109;62;91
5,3625;5,3875;69;122;65;102
5,375;5,4;70;119;70;114
5,3875;5,4125;84;112;80;114
